.csv
Version,1.0
File produced by University of Exeter,  08-Jun-2015 

Site, Nottingham
Latitude, 53.005, Longitude, -1.25, Altitude,117

Notation and units
Column, Variable, Description, Units, Notes
1, Year
2, Month
3, Date
4, Hour
5, PWC, , , (on hour GMT)
6, CC, Cloud amount, oktas, (on hour GMT)
7, DBT, Dry Bulb Temperature, degrees Celcius, (on hour GMT)
8, WBT, Wet Bulb Temperature, degrees Celcius, (on hour GMT)
9, RH, Relative Humidity, % (on hour GMT)
10, Press, Mean Sea Level Pressure, hPa, (on hour GMT)
11, WD, Wind Direction, degrees, (average over previous hour GMT)
12, WS, Wind Speed, knots, (average over previous hour GMT)
13, GSR, Global Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
14, DSR, Diffuse Irradiation (horizontal plane), W/m^2, (average over next hour in LAT)
15, Alt, Solar Altitude, degrees, (calculated on next half-hour in LAT)
16, Dec, Solar Declination, degrees, (calculated on next half-hour in LAT)
17-22, Missing Data Codes, see accompanying documentation for description,

Model parameters


Year, Month, Day, Hour, PWC, Cloud, DBT, WBT, RH, Press, WD, WS, GSR, DSR, Alt, Dec, Cloud, DBT, WBT, Press, WD, WS
1996,1,1,1,999.8,5,1.2,1.2,100,999.8,60,2.6,0,0,-59.8,-23,1,0,0,0,0,0
1996,1,1,2,999.6,5,1.2,1.2,100,999.6,70,2.1,0,0,-56.3,-23,1,0,0,0,0,0
1996,1,1,3,999.8,5,1.3,1.3,100,999.8,0,0,0,0,-49.8,-23,1,0,0,0,0,0
1996,1,1,4,999.8,5,1.2,1.2,100,999.8,0,0,0,0,-41.7,-23,1,0,0,0,0,0
1996,1,1,5,999.6,5,1.2,1.2,100,999.6,0,0,0,0,-32.9,-23,1,0,0,0,0,0
1996,1,1,6,999.5,5,1.3,1.3,100,999.5,0,0,0,0,-23.9,-23,1,0,0,0,0,0
1996,1,1,7,999.7,5,1.4,1.4,100,999.7,0,0,0,0,-15.1,-23,1,0,0,0,0,0
1996,1,1,8,1000,5,1.5,1.5,100,1000,0,0,0,0,-6.9,-23,1,0,0,0,0,0
1996,1,1,9,1000.3,5,1.6,1.5,98.4,1000.3,0,0,6.2,0,0.5,-23,1,0,0,0,0,0
1996,1,1,10,1000.5,5,1.7,1.7,100,1000.5,0,0,39.8,0,6.6,-23,1,0,0,0,0,0
1996,1,1,11,1000.7,5,2,2,100,1000.7,50,2.6,122,272.4,11,-23,1,0,0,0,0,0
1996,1,1,12,1000.6,5,2.3,2.3,100,1000.6,50,3.6,154.8,282.8,13.5,-23,1,0,0,0,0,0
1996,1,1,13,1000.6,5,2.7,2.7,100,1000.6,60,2.6,158.9,283.8,13.8,-23,1,0,0,0,0,0
1996,1,1,14,1000.7,5,2.9,2.9,100,1000.7,50,2.6,134,276.7,11.9,-23,1,0,0,0,0,0
1996,1,1,15,1000.8,5,3.1,3.1,100,1000.8,50,3.1,81.9,251.2,8,-23,1,0,0,0,0,0
1996,1,1,16,1001.2,5,3.2,3.1,98.5,1001.2,0,0,12.7,0,2.3,-23,1,0,0,0,0,0
1996,1,1,17,1001.6,5,2.9,2.8,98.4,1001.6,0,0,0,0,-4.7,-23,1,0,0,0,0,0
1996,1,1,18,1002.2,5,2.7,2.7,100,1002.2,0,0,0,0,-12.7,-23,1,0,0,0,0,0
1996,1,1,19,1002.5,5,2.4,2.4,100,1002.5,0,0,0,0,-21.4,-23,1,0,0,0,0,0
1996,1,1,20,1003.2,5,2.4,2.3,98.4,1003.2,0,0,0,0,-30.3,-23,1,0,0,0,0,0
1996,1,1,21,1003.7,5,2.2,2.1,98.4,1003.7,0,0,0,0,-39.3,-23,1,0,0,0,0,0
1996,1,1,22,1004,5,2.1,2,98.4,1004,0,0,0,0,-47.6,-23,1,0,0,0,0,0
1996,1,1,23,1004.5,5,2.2,2.1,98.4,1004.5,0,0,0,0,-54.7,-23,1,0,0,0,0,0
1996,1,1,24,1005,5,2,2,100,1005,0,0,0,0,-59.1,-23,1,0,0,0,0,0
1996,1,2,1,1005.8,5,1.9,1.9,100,1005.8,0,0,0,0,-59.7,-23,1,0,0,0,0,0
1996,1,2,2,1006.1,5,2.2,2.2,100,1006.1,0,0,0,0,-56.2,-23,1,0,0,0,0,0
1996,1,2,3,1006.6,5,1.9,1.8,98.4,1006.6,0,0,0,0,-49.8,-23,1,0,0,0,0,0
1996,1,2,4,1007.3,5,2,2,100,1007.3,0,0,0,0,-41.7,-23,1,0,0,0,0,0
1996,1,2,5,1007.6,5,2.1,2.1,100,1007.6,0,0,0,0,-32.9,-23,1,0,0,0,0,0
1996,1,2,6,1008.3,5,2.3,2.3,100,1008.3,0,0,0,0,-23.9,-23,1,0,0,0,0,0
1996,1,2,7,1009,5,2.2,2.2,100,1009,0,0,0,0,-15.1,-23,1,0,0,0,0,0
1996,1,2,8,1009.9,5,2,2,100,1009.9,0,0,0,0,-6.8,-23,1,0,0,0,0,0
1996,1,2,9,1011,5,2.3,2.2,98.4,1011,0,0,6.2,0,0.5,-23,1,0,0,0,0,0
1996,1,2,10,1011.8,5,2.3,2.2,98.4,1011.8,0,0,40.1,0,6.6,-23,1,0,0,0,0,0
1996,1,2,11,1012.8,5,2.5,2.4,98.4,1012.8,0,0,122.8,272.7,11.1,-23,1,0,0,0,0,0
1996,1,2,12,1013.5,5,2.8,2.7,98.4,1013.5,0,0,155.8,283,13.6,-23,1,0,0,0,0,0
1996,1,2,13,1014,5,3.1,3.1,100,1014,0,0,160.1,284.1,13.9,-23,1,0,0,0,0,0
1996,1,2,14,1014.3,5,3.2,3.1,98.5,1014.3,0,0,135.3,277.2,12,-23,1,0,0,0,0,0
1996,1,2,15,1014.5,5,3.5,3.4,98.5,1014.5,0,0,83.3,252.2,8.1,-23,1,0,0,0,0,0
1996,1,2,16,1015.2,5,3.1,3,98.4,1015.2,0,0,13.3,0,2.5,-23,1,0,0,0,0,0
1996,1,2,17,1016.5,5,3,3,100,1016.5,240,0.5,0,0,-4.6,-23,1,0,0,0,0,0
1996,1,2,18,1017.2,5,3,2.9,98.4,1017.2,0,0,0,0,-12.6,-23,1,0,0,0,0,0
1996,1,2,19,1017.3,5,3.1,3.1,100,1017.3,0,0,0,0,-21.2,-23,1,0,0,0,0,0
1996,1,2,20,1017.5,5,3.3,3.3,100,1017.5,0,0,0,0,-30.2,-23,1,0,0,0,0,0
1996,1,2,21,1018.2,5,3.3,3.3,100,1018.2,0,0,0,0,-39.1,-23,1,0,0,0,0,0
1996,1,2,22,1018.7,5,3.3,3.2,98.5,1018.7,0,0,0,0,-47.5,-23,1,0,0,0,0,0
1996,1,2,23,1018.7,5,3.2,3.1,98.4,1018.7,0,0,0,0,-54.5,-23,1,0,0,0,0,0
1996,1,2,24,1019.1,5,3.3,3.3,100,1019.1,0,0,0,0,-59,-23,1,0,0,0,0,0
1996,1,3,1,1019.8,5,3.1,3,98.4,1019.8,0,0,0,0,-59.6,-22.9,1,0,0,0,0,0
1996,1,3,2,1019.6,5,2.9,2.9,100,1019.6,0,0,0,0,-56.2,-22.9,1,0,0,0,0,0
1996,1,3,3,1019.6,5,2.9,2.9,100,1019.6,0,0,0,0,-49.8,-22.9,1,0,0,0,0,0
1996,1,3,4,1019.7,5,2.8,2.7,98.4,1019.7,0,0,0,0,-41.7,-22.9,1,0,0,0,0,0
1996,1,3,5,1019.7,5,2.7,2.7,100,1019.7,0,0,0,0,-32.9,-22.9,1,0,0,0,0,0
1996,1,3,6,1019.2,5,2.8,2.8,100,1019.2,0,0,0,0,-23.9,-22.9,1,0,0,0,0,0
1996,1,3,7,1019.4,5,3.1,3.1,100,1019.4,0,0,0,0,-15.1,-22.9,1,0,0,0,0,0
1996,1,3,8,1019.8,5,3.6,3.5,98.5,1019.8,0,0,0,0,-6.8,-22.9,1,0,0,0,0,0
1996,1,3,9,1019.9,5,3.7,3.6,98.5,1019.9,0,0,6.3,0,0.5,-22.9,1,0,0,0,0,0
1996,1,3,10,1020.2,5,3.7,3.6,98.5,1020.2,150,0.5,40.4,0,6.6,-22.9,1,0,0,0,0,0
1996,1,3,11,1020.6,5,3.9,3.7,97,1020.6,150,3.1,123.6,273,11.1,-22.9,1,0,0,0,0,0
1996,1,3,12,1020.6,5,4.3,4.2,98.5,1020.6,160,3.1,156.7,283.3,13.7,-22.9,1,0,0,0,0,0
1996,1,3,13,1019.9,5,4.7,4.5,97.1,1019.9,150,3.1,161.3,284.4,14,-22.9,1,0,0,0,0,0
1996,1,3,14,1019.6,5,4.9,4.7,97.1,1019.6,150,2.6,136.9,277.7,12.1,-22.9,1,0,0,0,0,0
1996,1,3,15,1019.4,5,4.8,4.6,97.1,1019.4,160,3.1,85.1,253.4,8.2,-22.9,1,0,0,0,0,0
1996,1,3,16,1019.2,5,4.7,4.4,95.6,1019.2,150,3.1,13.8,0,2.6,-22.9,1,0,0,0,0,0
1996,1,3,17,1019.04,5,4.5,4.2,96,1019.04,150,3.3,0,0,-4.4,-22.9,1,1,1,1,1,1
1996,1,3,18,1019,5,4.4,4.2,97.1,1019,140,3.6,0,0,-12.4,-22.9,1,0,0,0,0,0
1996,1,3,19,1019,5,4.3,4.1,97,1019,130,3.1,0,0,-21.1,-22.9,1,0,0,0,0,0
1996,1,3,20,1018.6,5,4.1,3.9,97,1018.6,140,3.6,0,0,-30.1,-22.9,1,0,0,0,0,0
1996,1,3,21,1018.2,5,4,3.7,95.5,1018.2,140,4.1,0,0,-39,-22.9,1,0,0,0,0,0
1996,1,3,22,1018,5,3.9,3.7,97,1018,150,4.1,0,0,-47.4,-22.9,1,0,0,0,0,0
1996,1,3,23,1017.7,5,3.9,3.6,95.5,1017.7,160,4.1,0,0,-54.4,-22.9,1,0,0,0,0,0
1996,1,3,24,1016.6,5,3.7,3.5,97,1016.6,140,4.6,0,0,-58.9,-22.9,1,0,0,0,0,0
1996,1,4,1,1016.3,5,3.5,3.3,96.9,1016.3,150,5.1,0,0,-59.6,-22.8,1,0,0,0,0,0
1996,1,4,2,1015.3,5,3.3,3.1,96.9,1015.3,140,4.1,0,0,-56.1,-22.8,1,0,0,0,0,0
1996,1,4,3,1014.5,5,3,2.7,95.3,1014.5,140,5.1,0,0,-49.8,-22.8,1,0,0,0,0,0
1996,1,4,4,1013.8,5,2.6,2.3,95.3,1013.8,150,3.1,0,0,-41.7,-22.8,1,0,0,0,0,0
1996,1,4,5,1013,5,2.2,2,96.8,1013,130,4.6,0,0,-32.9,-22.8,1,0,0,0,0,0
1996,1,4,6,1012.5,5,2.1,2,98.4,1012.5,150,3.6,0,0,-23.9,-22.8,1,0,0,0,0,0
1996,1,4,7,1011.8,5,2.3,2.1,96.8,1011.8,150,4.6,0,0,-15.1,-22.8,1,0,0,0,0,0
1996,1,4,8,1011.2,5,2.5,2.3,96.8,1011.2,160,3.6,0,0,-6.8,-22.8,1,0,0,0,0,0
1996,1,4,9,1010.3,5,3,2.6,93.8,1010.3,140,4.1,6.4,0,0.6,-22.8,1,0,0,0,0,0
1996,1,4,10,1010.3,5,3,2.6,93.8,1010.3,130,4.6,40.9,0,6.7,-22.8,1,0,0,0,0,0
1996,1,4,11,1009.7,5,3.2,2.8,93.9,1009.7,120,4.1,124.4,273.3,11.2,-22.8,1,0,0,0,0,0
1996,1,4,12,1008.9,5,3.9,3.3,91.1,1008.9,100,3.1,157.9,283.6,13.7,-22.8,1,0,0,0,0,0
1996,1,4,13,1007.7,5,4.2,3.5,89.7,1007.7,120,4.1,162.7,284.7,14.1,-22.8,1,0,0,0,0,0
1996,1,4,14,1006.4,5,4.2,3.5,89.7,1006.4,110,4.6,138.5,278.2,12.3,-22.8,1,0,0,0,0,0
1996,1,4,15,1005.6,5,4.4,3.6,88.4,1005.6,110,5.7,86.8,254.6,8.4,-22.8,1,0,0,0,0,0
1996,1,4,16,1004.3,5,4.4,3.5,87,1004.3,110,6.2,14.5,0,2.7,-22.8,1,0,0,0,0,0
1996,1,4,17,1003.7,5,4.3,3.3,85.5,1003.7,120,5.7,0,0,-4.3,-22.8,1,0,0,0,0,0
1996,1,4,18,1002.9,5,4.1,3.1,85.4,1002.9,130,6.2,0,0,-12.3,-22.8,1,0,0,0,0,0
1996,1,4,19,1002.3,5,3.7,2.9,88.1,1002.3,130,5.1,0,0,-20.9,-22.8,1,0,0,0,0,0
1996,1,4,20,1001.7,5,3.3,2.9,93.9,1001.7,130,6.2,0,0,-29.9,-22.8,1,0,0,0,0,0
1996,1,4,21,1001.2,5,3.4,3,93.9,1001.2,140,6.2,0,0,-38.8,-22.8,1,0,0,0,0,0
1996,1,4,22,1000.8,5,3.8,3.3,92.6,1000.8,150,4.1,0,0,-47.2,-22.8,1,0,0,0,0,0
1996,1,4,23,1000.5,5,4.3,3.8,92.7,1000.5,150,5.1,0,0,-54.3,-22.8,1,0,0,0,0,0
1996,1,4,24,1000.5,5,4.7,4.4,95.7,1000.5,160,5.1,0,0,-58.8,-22.8,1,0,0,0,0,0
1996,1,5,1,1000.7,5,5.3,5,95.8,1000.7,150,4.6,0,0,-59.5,-22.7,1,0,0,0,0,0
1996,1,5,2,1000.4,5,5.7,5.3,94.5,1000.4,140,4.1,0,0,-56.1,-22.7,1,0,0,0,0,0
1996,1,5,3,999.8,5,5.8,5.5,95.9,999.8,140,4.1,0,0,-49.7,-22.7,1,0,0,0,0,0
1996,1,5,4,999.7,5,5.5,5.2,95.8,999.7,160,4.1,0,0,-41.7,-22.7,1,0,0,0,0,0
1996,1,5,5,999.635,5,5.1,4.8,95.9,999.635,150,4,0,0,-32.9,-22.7,1,1,1,1,1,1
1996,1,5,6,999.458,5,4.8,4.6,96.7,999.458,140,3.9,0,0,-23.9,-22.7,1,1,1,1,1,1
1996,1,5,7,999.203,5,4.6,4.4,97.6,999.203,140,3.8,0,0,-15.1,-22.7,1,1,1,1,1,1
1996,1,5,8,998.905,5,4.6,4.5,98.4,998.905,130,3.7,0,0,-6.8,-22.7,1,1,1,1,1,1
1996,1,5,9,998.6,5,4.7,4.6,98.6,998.6,120,3.6,6.5,0,0.6,-22.7,1,0,0,0,0,0
1996,1,5,10,998.4,5,4.9,4.8,98.6,998.4,130,2.6,41.3,0,6.7,-22.7,1,0,0,0,0,0
1996,1,5,11,998.2,5,4.7,4.7,100,998.2,120,3.6,125.4,273.7,11.3,-22.7,1,0,0,0,0,0
1996,1,5,12,997.2,5,4.8,4.7,98.6,997.2,90,5.7,159.1,283.9,13.8,-22.7,1,0,0,0,0,0
1996,1,5,13,997.6,5,4.8,4.7,98.6,997.6,110,3.6,164.2,285.1,14.2,-22.7,1,0,0,0,0,0
1996,1,5,14,997,5,4.9,4.8,98.6,997,110,5.1,140,278.6,12.4,-22.7,1,0,0,0,0,0
1996,1,5,15,996.8,5,5,4.9,98.6,996.8,130,4.1,88.5,255.8,8.5,-22.7,1,0,0,0,0,0
1996,1,5,16,996.6,5,4.9,4.8,98.6,996.6,120,1.5,15.2,0,2.9,-22.7,1,0,0,0,0,0
1996,1,5,17,996,5,5,4.9,98.6,996,0,0,0.1,0,-4.1,-22.7,1,0,0,0,0,0
1996,1,5,18,995.9,5,5.2,5.1,98.6,995.9,100,3.6,0,0,-12.1,-22.7,1,0,0,0,0,0
1996,1,5,19,996,5,5.3,5.2,98.6,996,100,3.6,0,0,-20.8,-22.7,1,0,0,0,0,0
1996,1,5,20,996.084,5,5.4,5.3,98.6,996.084,110,3.3,0,0,-29.8,-22.7,1,1,1,1,1,1
1996,1,5,21,996.1,5,5.5,5.4,98.6,996.1,110,3.1,0,0,-38.7,-22.7,1,0,0,0,0,0
1996,1,5,22,996.1,5,5.5,5.4,98.6,996.1,110,2.6,0,0,-47.1,-22.7,1,0,0,0,0,0
1996,1,5,23,996.2,5,5.6,5.5,98.6,996.2,150,2.6,0,0,-54.1,-22.7,1,0,0,0,0,0
1996,1,5,24,995.9,5,5.5,5.4,98.6,995.9,0,0,0,0,-58.6,-22.7,1,0,0,0,0,0
1996,1,6,1,996,5,5.3,5.2,98.6,996,0,0,0,0,-59.4,-22.5,1,0,0,0,0,0
1996,1,6,2,995.7,5,5.1,5,98.6,995.7,0,0,0,0,-56,-22.5,1,0,0,0,0,0
1996,1,6,3,995.4,5,4.7,4.7,100,995.4,0,0,0,0,-49.7,-22.5,1,0,0,0,0,0
1996,1,6,4,995.5,5,4.6,4.5,98.6,995.5,0,0,0,0,-41.7,-22.5,1,0,0,0,0,0
1996,1,6,5,995,5,4.5,4.5,100,995,0,0,0,0,-32.9,-22.5,1,0,0,0,0,0
1996,1,6,6,994.7,5,4.7,4.6,98.6,994.7,0,0,0,0,-23.8,-22.5,1,0,0,0,0,0
1996,1,6,7,994.2,5,4.9,4.8,98.6,994.2,0,0,0,0,-15,-22.5,1,0,0,0,0,0
1996,1,6,8,993.8,5,4.8,4.7,98.6,993.8,0,0,0,0,-6.8,-22.5,1,0,0,0,0,0
1996,1,6,9,993.8,5,4.3,4.3,100,993.8,90,3.6,6.6,0,0.7,-22.5,1,0,0,0,0,0
1996,1,6,10,993.7,5,4.3,4.3,100,993.7,120,3.6,41.9,0,6.8,-22.5,1,0,0,0,0,0
1996,1,6,11,993.5,5,4.5,4.5,100,993.5,110,3.6,126.5,274.1,11.3,-22.5,1,0,0,0,0,0
1996,1,6,12,992.6,5,4.8,4.8,100,992.6,100,5.1,160.5,284.2,13.9,-22.5,1,0,0,0,0,0
1996,1,6,13,991.8,5,4.9,4.8,98.6,991.8,120,5.7,165.7,285.4,14.3,-22.5,1,0,0,0,0,0
1996,1,6,14,991.2,5,5.2,5.1,98.6,991.2,120,5.1,141.8,279.2,12.5,-22.5,1,0,0,0,0,0
1996,1,6,15,990.1,5,5.5,5.3,97.2,990.1,100,5.7,90.4,256.9,8.6,-22.5,1,0,0,0,0,0
1996,1,6,16,989.8,5,5.4,5.3,98.6,989.8,110,5.7,15.9,0,3,-22.5,1,0,0,0,0,0
1996,1,6,17,988.5,5,5.2,5,97.2,988.5,100,6.2,0.1,0,-4,-22.5,1,0,0,0,0,0
1996,1,6,18,987.9,5,4.6,4.5,98.6,987.9,90,7.2,0,0,-12,-22.5,1,0,0,0,0,0
1996,1,6,19,987.1,5,4.5,4.3,97.1,987.1,100,7.7,0,0,-20.6,-22.5,1,0,0,0,0,0
1996,1,6,20,987,5,4.2,4.1,98.5,987,100,8.2,0,0,-29.6,-22.5,1,0,0,0,0,0
1996,1,6,21,987.3,5,4.2,4.1,98.5,987.3,110,7.2,0,0,-38.5,-22.5,1,0,0,0,0,0
1996,1,6,22,986.4,5,4.1,3.9,97.1,986.4,100,7.2,0,0,-46.9,-22.5,1,0,0,0,0,0
1996,1,6,23,985.4,5,4.2,3.9,95.6,985.4,100,6.7,0,0,-54,-22.5,1,0,0,0,0,0
1996,1,6,24,984.5,5,4.1,3.8,95.6,984.5,100,8.2,0,0,-58.5,-22.5,1,0,0,0,0,0
1996,1,7,1,983.6,5,4.1,3.8,95.6,983.6,90,7.2,0,0,-59.3,-22.4,1,0,0,0,0,0
1996,1,7,2,982.7,5,4.5,4.2,95.7,982.7,100,7.2,0,0,-56,-22.4,1,0,0,0,0,0
1996,1,7,3,982.3,5,4.5,4.3,97.1,982.3,110,8.2,0,0,-49.6,-22.4,1,0,0,0,0,0
1996,1,7,4,981.7,5,4.7,4.5,97.1,981.7,110,7.2,0,0,-41.6,-22.4,1,0,0,0,0,0
1996,1,7,5,981,5,4.9,4.8,98.6,981,110,7.2,0,0,-32.8,-22.4,1,0,0,0,0,0
1996,1,7,6,980.9,5,5.4,5.3,98.6,980.9,120,5.7,0,0,-23.8,-22.4,1,0,0,0,0,0
1996,1,7,7,980.8,5,5.9,5.8,98.6,980.8,120,4.6,0,0,-15,-22.4,1,0,0,0,0,0
1996,1,7,8,980.8,5,6.8,6.7,98.7,980.8,140,4.1,0,0,-6.7,-22.4,1,0,0,0,0,0
1996,1,7,9,981.1,5,7.5,7.3,97.4,981.1,160,4.6,6.8,0,0.7,-22.4,1,0,0,0,0,0
1996,1,7,10,981.9,5,8.2,7.8,95,981.9,170,4.6,42.6,0,6.9,-22.4,1,0,0,0,0,0
1996,1,7,11,982.7,5,8.7,7.9,90.2,982.7,190,5.1,127.7,274.5,11.4,-22.4,1,0,0,0,0,0
1996,1,7,12,983.9,5,9.1,8.1,88,983.9,200,6.7,161.8,284.5,14,-22.4,1,0,0,0,0,0
1996,1,7,13,984.9,5,8.4,7.6,90.1,984.9,200,6.7,167.3,285.8,14.5,-22.4,1,0,0,0,0,0
1996,1,7,14,986.1,5,8.1,7.6,93.7,986.1,200,5.7,143.6,279.7,12.7,-22.4,1,0,0,0,0,0
1996,1,7,15,987,5,8.9,7.7,85.5,987,210,6.2,92.4,258.2,8.8,-22.4,1,0,0,0,0,0
1996,1,7,16,988.1,5,8.1,7.1,87.6,988.1,210,6.2,16.6,0,3.2,-22.4,1,0,0,0,0,0
1996,1,7,17,989.8,5,7.7,6.7,87.4,989.8,200,5.7,0.1,0,-3.8,-22.4,1,0,0,0,0,0
1996,1,7,18,991.4,5,7.3,6.5,89.7,991.4,200,4.6,0,0,-11.8,-22.4,1,0,0,0,0,0
1996,1,7,19,992.5,5,6.9,6.1,89.5,992.5,200,4.6,0,0,-20.5,-22.4,1,0,0,0,0,0
1996,1,7,20,994,5,6.7,6,90.8,994,200,4.6,0,0,-29.5,-22.4,1,0,0,0,0,0
1996,1,7,21,995.2,5,6.2,5.5,90.6,995.2,190,4.1,0,0,-38.4,-22.4,1,0,0,0,0,0
1996,1,7,22,996,5,5.7,5.1,91.7,996,210,3.6,0,0,-46.8,-22.4,1,0,0,0,0,0
1996,1,7,23,997,5,5.4,4.8,91.6,997,190,3.6,0,0,-53.8,-22.4,1,0,0,0,0,0
1996,1,7,24,997.6,5,6,5.3,90.5,997.6,190,3.1,0,0,-58.4,-22.4,1,0,0,0,0,0
1996,1,8,1,998.5,5,6.4,5.7,90.6,998.5,0,0,0,0,-59.1,-22.3,1,0,0,0,0,0
1996,1,8,2,998.9,5,6.7,6.2,93.4,998.9,180,2.6,0,0,-55.9,-22.3,1,0,0,0,0,0
1996,1,8,3,998.9,5,6.6,6.2,94.7,998.9,160,3.6,0,0,-49.6,-22.3,1,0,0,0,0,0
1996,1,8,4,999.3,5,7,6.6,94.7,999.3,170,3.6,0,0,-41.6,-22.3,1,0,0,0,0,0
1996,1,8,5,999.1,5,7.2,6.7,93.5,999.1,170,4.1,0,0,-32.8,-22.3,1,0,0,0,0,0
1996,1,8,6,999.5,5,7.5,6.9,92.3,999.5,180,3.6,0,0,-23.8,-22.3,1,0,0,0,0,0
1996,1,8,7,999.4,5,7.2,6.7,93.5,999.4,180,5.1,0,0,-15,-22.3,1,0,0,0,0,0
1996,1,8,8,999.2,5,6.7,6.2,93.4,999.2,180,4.6,0,0,-6.7,-22.3,1,0,0,0,0,0
1996,1,8,9,998.7,5,6.9,6.2,90.8,998.7,170,6.2,7,0,0.8,-22.3,1,0,0,0,0,0
1996,1,8,10,998.8,5,7.3,6.5,89.7,998.8,150,5.7,43.2,0,7,-22.3,1,0,0,0,0,0
1996,1,8,11,998.1,5,7.5,7.1,94.8,998.1,140,5.7,129,275,11.5,-22.3,1,0,0,0,0,0
1996,1,8,12,997,5,8.2,7.8,95,997,150,7.7,163.4,284.9,14.2,-22.3,1,0,0,0,0,0
1996,1,8,13,996.5,5,8.9,8.3,92.7,996.5,160,7.2,169.1,286.2,14.6,-22.3,1,0,0,0,0,0
1996,1,8,14,996.1,5,9.7,8.5,85.9,996.1,170,7.7,145.6,280.3,12.8,-22.3,1,0,0,0,0,0
1996,1,8,15,995.9,5,10,8.5,82.6,995.9,170,6.7,94.5,259.4,8.9,-22.3,1,0,0,0,0,0
1996,1,8,16,995,5,9.7,8.2,82.4,995,160,6.7,17.5,0,3.3,-22.3,1,0,0,0,0,0
1996,1,8,17,995,5,9.9,8,78,995,160,7.2,0.2,0,-3.7,-22.3,1,0,0,0,0,0
1996,1,8,18,994.4,5,10,8,77,994.4,160,7.2,0,0,-11.7,-22.3,1,0,0,0,0,0
1996,1,8,19,994.7,5,9.6,8,81.2,994.7,160,7.2,0,0,-20.3,-22.3,1,0,0,0,0,0
1996,1,8,20,994,5,9.4,8,83.4,994,160,8.7,0,0,-29.3,-22.3,1,0,0,0,0,0
1996,1,8,21,993.2,5,8.9,7.9,87.9,993.2,160,7.7,0,0,-38.2,-22.3,1,0,0,0,0,0
1996,1,8,22,992.9,5,9.4,7.7,80,992.9,150,7.2,0,0,-46.6,-22.3,1,0,0,0,0,0
1996,1,8,23,992.7,5,9.5,7.8,80,992.7,170,6.2,0,0,-53.6,-22.3,1,0,0,0,0,0
1996,1,8,24,993.3,5,9.4,8.1,84.6,993.3,170,8.2,0,0,-58.2,-22.3,1,0,0,0,0,0
1996,1,9,1,993.1,5,8.7,8,91.4,993.1,170,7.2,0,0,-59,-22.2,1,0,0,0,0,0
1996,1,9,2,992.9,5,8.8,8,90.2,992.9,160,6.7,0,0,-55.8,-22.2,1,0,0,0,0,0
1996,1,9,3,992.5,5,8.6,7.9,91.4,992.5,160,5.1,0,0,-49.5,-22.2,1,0,0,0,0,0
1996,1,9,4,992.1,5,8.2,7.8,95,992.1,150,5.7,0,0,-41.5,-22.2,1,0,0,0,0,0
1996,1,9,5,991.7,5,8,7.7,96.2,991.7,160,5.1,0,0,-32.8,-22.2,1,0,0,0,0,0
1996,1,9,6,991.9,5,7.9,7.7,97.5,991.9,160,4.6,0,0,-23.8,-22.2,1,0,0,0,0,0
1996,1,9,7,991.9,5,7.7,7.5,97.4,991.9,150,5.1,0,0,-14.9,-22.2,1,0,0,0,0,0
1996,1,9,8,991.1,5,7.5,7.3,97.4,991.1,150,4.6,0,0,-6.6,-22.2,1,0,0,0,0,0
1996,1,9,9,991.2,5,7.6,7.4,97.4,991.2,160,4.1,7.2,0,0.8,-22.2,1,0,0,0,0,0
1996,1,9,10,992.2,5,7.9,7.5,94.9,992.2,160,3.6,69.2,240.7,7,-22.2,1,0,0,0,0,0
1996,1,9,11,992.3,5,8.2,7.9,96.2,992.3,150,3.6,130.3,275.5,11.6,-22.2,1,0,0,0,0,0
1996,1,9,12,992.7,5,8.8,8.3,93.9,992.7,170,4.1,165,285.3,14.3,-22.2,1,0,0,0,0,0
1996,1,9,13,993.2,5,9.5,8.9,92.8,993.2,170,4.6,171,286.6,14.7,-22.2,1,0,0,0,0,0
1996,1,9,14,993.2,5,11,9.3,81,993.2,190,6.2,147.5,280.8,13,-22.2,1,0,0,0,0,0
1996,1,9,15,993.1,5,10.4,8.9,82.9,993.1,180,5.7,96.6,260.6,9.1,-22.2,1,0,0,0,0,0
1996,1,9,16,993,5,10.5,8.8,80.7,993,180,5.1,18.4,0,3.5,-22.2,1,0,0,0,0,0
1996,1,9,17,994.1,5,9.9,8.3,81.4,994.1,170,6.7,0.2,0,-3.5,-22.2,1,0,0,0,0,0
1996,1,9,18,994.6,5,9.3,8,84.5,994.6,170,4.6,0,0,-11.5,-22.2,1,0,0,0,0,0
1996,1,9,19,995.3,5,9.4,8.1,84.6,995.3,170,4.6,0,0,-20.2,-22.2,1,0,0,0,0,0
1996,1,9,20,996,5,9.4,8.2,85.7,996,170,5.7,0,0,-29.1,-22.2,1,0,0,0,0,0
1996,1,9,21,996.5,5,9.5,8.3,85.8,996.5,170,5.1,0,0,-38,-22.2,1,0,0,0,0,0
1996,1,9,22,996.7,5,9.6,8.4,85.8,996.7,180,5.7,0,0,-46.4,-22.2,1,0,0,0,0,0
1996,1,9,23,997.5,5,9,7.9,86.7,997.5,190,5.1,0,0,-53.5,-22.2,1,0,0,0,0,0
1996,1,9,24,998.3,5,8.5,7.7,90.1,998.3,190,4.1,0,0,-58.1,-22.2,1,0,0,0,0,0
